,id,mig_int,mig_plan,mig_prep,cari,is_cari_secure,mig_intensity
796,175111288,1,0,0,2,1,2
797,175111316,1,0,0,2,1,2
798,175111321,1,0,0,2,1,2
799,175111372,1,0,0,2,1,2
800,175123568,0,0,0,2,1,1
801,175123572,0,0,0,2,1,1
802,175123578,0,0,0,2,1,1
803,175123849,1,1,0,2,1,3
805,175124032,0,0,0,2,1,1
806,175124040,1,0,0,2,1,2
807,175124358,1,0,0,2,1,2
808,175124731,0,0,0,2,1,1
809,175124746,0,0,0,2,1,1
812,175127459,0,0,0,2,1,1
814,175127514,0,0,0,2,1,1
815,175128034,0,0,0,2,1,1
816,175128150,0,0,0,2,1,1
817,175132549,1,0,0,2,1,2
818,175132628,1,0,0,2,1,2
819,175132760,0,0,0,2,1,1
820,175133189,0,0,0,2,1,1
821,175135631,1,0,0,2,1,2
822,175135640,1,0,0,2,1,2
823,175136182,0,0,0,2,1,1
824,175136186,0,0,0,2,1,1
826,175136197,0,0,0,2,1,1
827,175136265,1,0,0,2,1,2
828,175137713,0,0,0,2,1,1
829,175138359,0,0,0,2,1,1
830,175138654,1,0,0,2,1,2
831,175138660,0,0,0,2,1,1
833,175139044,1,0,0,2,1,2
834,175139049,0,0,0,2,1,1
835,175139054,0,0,0,2,1,1
837,175142541,1,0,0,2,1,2
841,175148510,1,0,0,2,1,2
842,175149173,1,0,0,2,1,2
843,175149177,1,0,0,2,1,2
844,175149200,1,0,0,2,1,2
845,175149202,0,0,0,2,1,1
846,175150942,0,0,0,2,1,1
847,175155251,0,0,0,2,1,1
848,175236031,1,0,0,2,1,2
852,175276336,1,0,0,2,1,2
853,175278247,0,0,0,2,1,1
854,175281504,1,0,0,2,1,2
855,175283883,0,0,0,2,1,1
856,175283885,0,0,0,2,1,1
857,175283889,0,0,0,2,1,1
858,175283893,1,0,0,2,1,2
860,175284390,1,0,0,2,1,2
862,175286231,1,0,0,2,1,2
863,175286233,0,0,0,2,1,1
864,175286236,0,0,0,2,1,1
865,175286248,0,0,0,2,1,1
866,175286592,1,0,0,2,1,2
870,175291503,0,0,0,2,1,1
871,175291579,1,1,1,2,1,4
873,175292035,1,1,1,2,1,4
875,175293147,1,1,1,2,1,4
876,175293150,1,0,0,2,1,2
877,175293168,0,0,0,2,1,1
878,175293837,1,0,0,2,1,2
879,175297030,1,0,0,2,1,2
880,175297226,0,0,0,2,1,1
881,175417173,1,99,0,2,1,2
882,175440149,1,0,0,2,1,2
883,175442583,1,0,0,2,1,2
884,175443401,1,0,0,2,1,2
885,175445137,1,1,0,2,1,3
886,176212255,0,0,0,2,1,1
887,175654102,1,0,0,2,1,2
888,175654437,1,0,0,2,1,2
889,175654509,0,0,0,2,1,1
890,175656627,0,0,0,2,1,1
891,175657353,1,0,0,2,1,2
892,175658610,1,0,0,2,1,2
893,175658615,1,0,0,2,1,2
894,175658802,1,0,0,2,1,2
895,175659783,1,0,0,2,1,2
897,175661113,0,0,0,2,1,1
898,175661115,1,1,1,2,1,4
899,175662324,0,0,0,2,1,1
900,175662576,1,1,0,2,1,3
901,175662604,0,0,0,2,1,1
902,175662940,0,0,0,2,1,1
903,175663652,0,0,0,2,1,1
904,175663656,0,0,0,2,1,1
905,175666159,1,0,0,2,1,2
906,175667119,1,1,0,2,1,3
907,175667125,0,0,0,2,1,1
908,175667126,0,0,0,2,1,1
909,175667806,1,0,0,2,1,2
910,175668646,0,0,0,2,1,1
911,175668650,1,0,0,2,1,2
915,175672399,1,1,0,2,1,3
916,175672487,0,0,0,2,1,1
917,175672837,0,0,0,2,1,1
918,175673149,1,0,0,2,1,2
922,175677388,0,0,0,2,1,1
923,175681617,1,0,0,2,1,2
924,175684740,1,0,0,2,1,2
925,175684867,1,0,0,2,1,2
926,175685808,1,0,0,2,1,2
928,175886538,1,1,1,2,1,4
929,175902317,1,0,0,2,1,2
930,175902739,1,0,0,2,1,2
932,175904080,0,0,0,2,1,1
933,175904415,0,0,0,2,1,1
934,175905205,1,0,0,2,1,2
935,175907900,1,0,0,2,1,2
936,175909276,1,0,0,2,1,2
937,175909478,1,0,0,2,1,2
938,175909864,1,0,0,2,1,2
939,175910031,0,0,0,2,1,1
940,175912652,1,0,0,2,1,2
941,175912670,1,0,0,2,1,2
943,175917885,0,0,0,2,1,1
944,175919676,0,0,0,2,1,1
945,175919880,1,1,0,2,1,3
946,175919881,0,0,0,2,1,1
947,175919887,0,0,0,2,1,1
948,175920145,1,0,0,2,1,2
949,175920164,1,0,0,2,1,2
950,175921724,0,0,0,2,1,1
951,175921873,1,0,0,2,1,2
952,175922493,1,0,0,2,1,2
954,175923822,1,1,1,2,1,4
956,175924082,1,0,0,2,1,2
957,175924252,0,0,0,2,1,1
960,175931036,0,0,0,2,1,1
961,175931037,0,0,0,2,1,1
962,175931293,0,0,0,2,1,1
963,175935140,1,1,0,2,1,3
964,175935147,1,0,0,2,1,2
965,175935248,0,0,0,2,1,1
966,175935250,0,0,0,2,1,1
969,175939502,0,0,0,2,1,1
970,175939508,0,0,0,2,1,1
972,175941049,1,0,0,2,1,2
973,175941051,0,0,0,2,1,1
974,175946118,0,0,0,2,1,1
975,176140109,0,0,0,2,1,1
976,176140408,1,1,0,2,1,3
977,176141852,0,0,0,2,1,1
978,176141863,1,0,0,2,1,2
979,176141871,0,0,0,2,1,1
980,176152099,0,0,0,2,1,1
981,176166184,1,0,0,2,1,2
982,176174828,0,0,0,2,1,1
983,176175403,0,0,0,2,1,1
984,176175408,0,0,0,2,1,1
985,176175415,1,0,0,2,1,2
986,176181441,1,0,0,2,1,2
987,176181458,0,0,0,2,1,1
989,176183345,1,0,0,2,1,2
990,176184483,1,0,0,2,1,2
991,176188233,0,0,0,2,1,1
992,176188245,0,0,0,2,1,1
993,176188248,0,0,0,2,1,1
994,176188253,1,1,0,2,1,3
995,176189505,0,0,0,2,1,1
996,176189509,1,0,0,2,1,2
997,176195908,0,0,0,2,1,1
998,176196084,0,0,0,2,1,1
999,176200993,0,0,0,2,1,1
1000,176200997,0,0,0,2,1,1
1002,176204433,1,0,0,2,1,2
1003,176211139,0,0,0,2,1,1
1004,176211149,0,0,0,2,1,1
1006,176216529,0,0,0,2,1,1
1007,176441209,1,0,0,2,1,2
1008,176449260,1,0,0,2,1,2
1009,176449374,0,0,0,2,1,1
1011,176449705,1,99,0,2,1,2
1012,176449715,0,0,0,2,1,1
1013,176449726,1,0,0,2,1,2
1014,176452994,1,0,0,2,1,2
1015,176454407,0,0,0,2,1,1
1016,176454938,1,1,1,2,1,4
1017,176454952,1,0,0,2,1,2
1018,176455459,0,0,0,2,1,1
1019,176455461,1,0,0,2,1,2
1021,176457736,0,0,0,2,1,1
1022,176465857,1,0,0,2,1,2
1024,176468029,0,0,0,2,1,1
1025,176470924,0,0,0,2,1,1
1026,176475534,0,0,0,2,1,1
1027,176475539,0,0,0,2,1,1
1028,176475750,1,0,0,2,1,2
1029,176485132,0,0,0,2,1,1
1030,176631170,1,0,0,2,1,2
1031,176631813,1,0,0,2,1,2
1032,176631822,0,0,0,2,1,1
1033,176631963,0,0,0,2,1,1
1034,176641983,0,0,0,2,1,1
1035,176641988,1,0,0,2,1,2
1036,176644827,1,0,0,2,1,2
1037,176647822,1,0,0,2,1,2
1038,176648805,1,0,0,2,1,2
1039,176649640,1,0,0,2,1,2
1040,176657326,1,0,0,2,1,2
1041,176657345,1,1,0,2,1,3
1042,176660501,0,0,0,2,1,1
1043,176660506,0,0,0,2,1,1
1044,176660604,0,0,0,2,1,1
1045,176660606,0,0,0,2,1,1
1046,176662600,1,0,0,2,1,2
1047,176674263,0,0,0,2,1,1
1048,177561208,1,0,0,2,1,2
1050,177568377,0,0,0,2,1,1
1052,177680856,0,0,0,2,1,1
1053,174925765,0,0,0,1,1,1
1054,174925764,0,0,0,2,1,1
1055,174925763,1,0,0,1,1,2
1056,174926565,0,0,0,1,1,1
1057,174926563,0,0,0,2,1,1
1058,174926562,1,0,0,1,1,2
1059,174926561,0,0,0,2,1,1
1060,174925761,1,0,0,1,1,2
1061,174925759,1,0,0,1,1,2
1062,173905231,0,0,0,1,1,1
1063,174344847,1,0,0,1,1,2
1064,174344848,0,0,0,2,1,1
1065,176475540,0,0,0,1,1,1
1066,175700852,1,0,0,2,1,2
1067,175693315,1,1,0,2,1,3
1068,175693312,0,0,0,1,1,1
1069,175693308,0,0,0,1,1,1
1070,176212257,0,0,0,2,1,1
1071,176212262,0,0,0,2,1,1
1072,175692880,1,0,0,2,1,2
1073,175692814,1,1,1,2,1,4
1074,175692599,0,0,0,2,1,1
1075,175692597,0,0,0,2,1,1
1076,175692594,0,0,0,2,1,1
1077,175692593,0,0,0,2,1,1
1078,175692589,0,0,0,2,1,1
1079,174314994,0,0,0,2,1,1
1080,175692586,0,0,0,1,1,1
1081,174314982,1,1,1,2,1,4
1082,174636696,1,0,0,1,1,2
1083,174315002,1,0,0,2,1,2
1084,174898916,0,0,0,1,1,1
1085,174314990,1,0,0,2,1,2
1086,174908717,1,0,0,2,1,2
1087,172921576,1,0,0,1,1,2
1088,172944306,1,1,1,2,1,4
1089,172944313,0,0,0,1,1,1
1090,172945251,1,0,0,1,1,2
1091,172947728,0,0,0,2,1,1
1092,172947767,0,0,0,1,1,1
1093,172947777,0,0,0,1,1,1
1094,172949865,0,0,0,1,1,1
1095,172949866,0,0,0,1,1,1
1096,172949868,1,1,0,1,1,3
1097,172949870,1,0,0,1,1,2
1098,172949873,0,0,0,1,1,1
1099,172951895,0,0,0,2,1,1
1100,172951899,1,1,1,1,1,4
1101,172951901,1,0,0,1,1,2
1102,172951907,1,0,0,2,1,2
1103,172951910,1,0,0,1,1,2
1104,174911614,1,0,0,2,1,2
1105,172959497,0,0,0,2,1,1
1106,172959504,1,0,0,1,1,2
1107,172964787,1,0,0,2,1,2
1108,172964797,0,0,0,2,1,1
1109,172964818,0,0,0,1,1,1
1110,172965209,1,0,0,2,1,2
1111,172965213,1,1,1,2,1,4
1112,172965219,1,0,0,2,1,2
1113,172965222,1,0,0,1,1,2
1114,172965796,0,0,0,2,1,1
1115,172965797,0,0,0,2,1,1
1116,172965798,0,0,0,1,1,1
1117,172965799,1,1,0,1,1,3
1118,172965800,1,1,0,2,1,3
1119,172965801,0,0,0,1,1,1
1120,172965952,1,0,0,1,1,2
1122,172965954,0,0,0,1,1,1
1123,172965956,1,1,0,1,1,3
1124,172966036,1,0,0,2,1,2
1125,172966038,0,0,0,2,1,1
1126,172966039,0,0,0,2,1,1
1127,172966040,1,0,0,2,1,2
1128,172966041,1,0,0,1,1,2
1129,172966042,1,0,0,2,1,2
1130,172969291,1,0,0,2,1,2
1131,172970565,1,0,0,2,1,2
1132,172970566,1,0,0,1,1,2
1133,172970567,1,0,0,1,1,2
1134,172970860,1,0,0,2,1,2
1135,172970863,1,0,0,2,1,2
1136,172970866,1,0,0,1,1,2
1137,172971014,1,0,0,2,1,2
1138,172971015,1,0,0,2,1,2
1139,172971016,0,0,0,2,1,1
1140,172971694,1,0,0,1,1,2
1141,172973104,0,0,0,2,1,1
1142,172973106,1,1,1,2,1,4
1143,172973108,0,0,0,1,1,1
1144,172973109,1,0,0,2,1,2
1145,172973112,0,0,0,2,1,1
1146,172973122,0,0,0,2,1,1
1147,172973876,1,0,0,1,1,2
1148,172973888,0,0,0,2,1,1
1149,172977194,1,0,0,1,1,2
1150,172977197,1,1,0,1,1,3
1151,172977198,1,1,1,1,1,4
1152,172977200,1,1,0,1,1,3
1153,172981393,1,0,0,2,1,2
1154,172981400,1,0,0,1,1,2
1155,172982953,1,1,1,1,1,4
1156,172982956,0,0,0,1,1,1
1157,172982958,0,0,0,1,1,1
1158,172982961,1,1,1,1,1,4
1159,172982962,0,0,0,1,1,1
1160,172985504,0,0,0,2,1,1
1161,172985507,0,0,0,2,1,1
1162,172985531,1,0,0,2,1,2
1163,172986226,0,0,0,2,1,1
1164,172995772,0,0,0,2,1,1
1165,172995774,1,0,0,2,1,2
1166,172995786,1,0,0,2,1,2
1167,172995788,0,0,0,2,1,1
1168,172995793,1,0,0,2,1,2
1169,173405234,0,0,0,2,1,1
1170,173193358,0,0,0,2,1,1
1171,173193366,0,0,0,1,1,1
1172,173193376,0,0,0,2,1,1
1173,173193383,1,1,1,1,1,4
1174,173195954,1,1,0,1,1,3
1175,173195960,1,0,0,2,1,2
1176,173199418,1,0,0,1,1,2
1177,173199432,0,0,0,1,1,1
1178,173199999,0,0,0,1,1,1
1179,173200000,0,0,0,1,1,1
1180,173200003,1,0,0,1,1,2
1181,173200004,0,0,0,1,1,1
1182,173200007,1,0,0,1,1,2
1183,173206404,1,0,0,1,1,2
1184,173206410,1,0,0,2,1,2
1185,173206415,0,0,0,1,1,1
1186,173206422,0,0,0,2,1,1
1187,173206426,1,1,0,1,1,3
1188,173206433,1,0,0,2,1,2
1189,173206442,1,0,0,1,1,2
1190,173206447,0,0,0,1,1,1
1191,173212346,0,0,0,2,1,1
1192,173212348,0,0,0,2,1,1
1193,173212349,1,0,0,1,1,2
1194,173212353,1,0,0,2,1,2
1195,173212355,1,0,0,1,1,2
1196,173212357,1,0,0,1,1,2
1197,173212764,0,0,0,1,1,1
1198,173212765,0,0,0,1,1,1
1199,173212767,0,0,0,2,1,1
1200,173212769,0,0,0,1,1,1
1201,173212925,0,0,0,2,1,1
1202,173212927,0,0,0,2,1,1
1203,173212928,1,0,0,1,1,2
1204,173212930,0,0,0,2,1,1
1205,173212932,0,0,0,2,1,1
1206,173212934,0,0,0,2,1,1
1207,173212938,0,0,0,2,1,1
1208,173212939,0,0,0,2,1,1
1209,173213289,0,0,0,2,1,1
1210,173213290,0,0,0,2,1,1
1211,173213293,0,0,0,2,1,1
1212,173213295,0,0,0,2,1,1
