,id,mig_int,mig_plan,mig_prep,cari,is_cari_secure,mig_intensity
134,176469868,1,0,0,3,0,2
135,176469872,1,0,0,3,0,2
136,176470926,1,0,0,3,0,2
137,176485137,0,0,0,3,0,1
138,176485145,0,0,0,4,0,1
139,176485397,0,0,0,3,0,1
140,176485401,0,0,0,3,0,1
141,176485404,0,0,0,3,0,1
142,176641920,0,0,0,3,0,1
143,176642108,1,0,0,3,0,2
144,176642676,0,0,0,3,0,1
145,177567622,0,0,0,3,0,1
146,177567626,0,0,0,3,0,1
147,177567628,0,0,0,3,0,1
148,176212294,0,0,0,3,0,1
149,175692595,0,0,0,3,0,1
151,172944303,0,0,0,3,0,1
154,172971064,1,0,0,3,0,2
155,172971066,0,0,0,3,0,1
156,172973107,0,0,0,3,0,1
157,172973875,0,0,0,3,0,1
158,173214648,0,0,0,3,0,1
164,173214694,0,0,0,3,0,1
168,173215801,1,0,0,3,0,2
169,173215803,0,0,0,3,0,1
170,173215805,1,0,0,3,0,2
171,173215807,1,1,99,3,0,3
176,173220270,0,0,0,3,0,1
177,173220273,0,0,0,3,0,1
178,173220274,0,0,0,3,0,1
179,173404036,1,0,0,3,0,2
180,173404038,0,0,0,3,0,1
181,173404041,0,0,0,3,0,1
183,173405552,0,0,0,3,0,1
184,173405559,1,1,0,3,0,3
185,173405563,1,0,0,3,0,2
190,173410476,1,0,0,3,0,2
191,173410478,0,0,0,3,0,1
193,173410517,1,0,0,3,0,2
195,173411882,0,0,0,3,0,1
196,173411889,0,0,0,3,0,1
197,173412627,1,0,0,3,0,2
198,173412821,0,0,0,3,0,1
199,173414069,0,0,0,3,0,1
201,173414076,0,0,0,3,0,1
202,173422024,0,0,0,3,0,1
203,173422984,0,0,0,4,0,1
204,173422985,1,0,0,3,0,2
205,173422989,1,1,1,3,0,4
206,173425677,0,0,0,3,0,1
207,173425688,0,0,0,3,0,1
209,173564748,0,0,0,3,0,1
210,173565299,0,0,0,3,0,1
211,173565300,1,0,0,3,0,2
214,173566378,0,0,0,3,0,1
215,173566379,1,1,0,3,0,3
216,173566380,0,0,0,3,0,1
217,173566382,0,0,0,3,0,1
219,173566386,0,0,0,3,0,1
221,173570468,0,0,0,3,0,1
222,173570469,0,0,0,3,0,1
223,173570851,0,0,0,3,0,1
225,173738280,0,0,0,3,0,1
226,173741667,0,0,0,3,0,1
227,174014989,1,0,0,3,0,2
228,174015622,0,0,0,3,0,1
229,174017624,1,0,0,3,0,2
230,174039169,1,0,0,3,0,2
231,174039330,0,0,0,3,0,1
234,174040626,1,1,1,3,0,4
236,174040868,1,0,0,3,0,2
238,174040879,0,0,0,3,0,1
239,174046632,0,0,0,3,0,1
240,174047527,1,0,0,3,0,2
241,174047838,0,0,0,3,0,1
242,174066588,0,0,0,3,0,1
243,174305167,1,0,0,3,0,2
245,174312746,1,0,0,3,0,2
247,174316394,0,0,0,3,0,1
248,174345198,0,0,0,3,0,1
251,174348434,0,0,0,3,0,1
256,174357774,0,0,0,3,0,1
258,174364324,0,0,0,3,0,1
259,174372689,0,0,0,3,0,1
260,174372692,0,0,0,3,0,1
262,174372711,0,0,0,3,0,1
264,174372723,1,1,0,3,0,3
265,174620499,0,0,0,3,0,1
266,174629824,0,0,0,3,0,1
267,174650195,0,0,0,3,0,1
268,174656544,1,0,0,3,0,2
269,174656957,0,0,0,3,0,1
270,174656958,0,0,0,3,0,1
276,174656971,1,0,0,3,0,2
277,174658296,0,0,0,3,0,1
279,174658312,1,0,0,3,0,2
281,174681458,0,0,0,3,0,1
282,174681462,1,0,0,3,0,2
284,174692401,0,0,0,3,0,1
286,174895825,0,0,0,3,0,1
287,174895828,0,0,0,3,0,1
288,174896768,1,0,0,3,0,2
290,174897956,0,0,0,3,0,1
292,174903968,1,1,0,3,0,3
294,174903973,1,0,0,3,0,2
296,174911582,0,0,0,3,0,1
298,174914781,0,0,0,3,0,1
299,174916470,0,0,0,3,0,1
301,174917307,0,0,0,3,0,1
302,174918926,0,0,0,3,0,1
304,174921096,0,0,0,3,0,1
308,174929763,0,0,0,3,0,1
311,174954847,1,1,0,3,0,3
312,175094355,1,0,0,3,0,2
313,175123559,1,0,0,3,0,2
315,175131630,0,0,0,3,0,1
316,175135886,0,0,0,3,0,1
317,175135891,1,0,0,3,0,2
318,175142721,1,0,0,3,0,2
319,175147877,0,0,0,3,0,1
320,175147940,0,0,0,3,0,1
321,175148481,0,0,0,3,0,1
322,175149125,0,0,0,3,0,1
323,175149127,0,0,0,3,0,1
324,175149248,0,0,0,3,0,1
325,175149251,0,0,0,3,0,1
327,175154231,0,0,0,3,0,1
328,175154232,0,0,0,3,0,1
329,175154233,1,1,0,3,0,3
330,175154234,0,0,0,3,0,1
334,175284290,0,0,0,3,0,1
335,175284419,1,0,0,3,0,2
336,175284430,1,0,0,3,0,2
339,175291573,1,0,0,3,0,2
341,175292376,0,0,0,3,0,1
342,175292384,0,0,0,3,0,1
343,175294597,1,0,0,3,0,2
344,175294602,1,0,0,3,0,2
345,175294607,1,0,0,3,0,2
346,175294608,1,1,1,3,0,4
347,175300966,0,0,0,3,0,1
356,175434202,0,0,0,3,0,1
357,175434205,1,0,0,3,0,2
358,175434207,0,0,0,3,0,1
360,175437965,0,0,0,3,0,1
361,175437973,0,0,0,3,0,1
363,175438211,1,1,1,3,0,4
364,175438525,1,0,0,3,0,2
366,175438695,0,0,0,3,0,1
367,175439917,0,0,0,3,0,1
369,175440146,0,0,0,3,0,1
371,175641344,0,0,0,3,0,1
372,175641346,0,0,0,3,0,1
374,175656187,0,0,0,3,0,1
377,175656282,1,0,0,3,0,2
379,175656286,1,0,0,3,0,2
380,175656288,0,0,0,3,0,1
384,175656325,0,0,0,3,0,1
385,175658275,1,0,0,3,0,2
386,175658447,1,0,0,3,0,2
387,175659619,0,0,0,3,0,1
388,175659774,1,1,0,3,0,3
389,175659784,1,0,0,3,0,2
390,175665922,1,0,0,3,0,2
391,175665927,0,0,0,3,0,1
392,175668648,0,0,0,3,0,1
